Date,Open,High,Low,Close,Adj Close,Volume
1993-05-24,2.058042,2.098214,2.026785,2.058042,1.944927,37578800
1993-05-25,2.013399,2.053571,1.991071,2.013399,1.902738,45180800
1993-05-26,2.062500,2.062500,1.977685,2.062500,1.949140,30391200
1993-05-27,2.053571,2.089285,2.044642,2.053571,1.940701,49322000
1993-05-28,2.022328,2.053571,2.008928,2.022328,1.912173,45987200
1993-06-01,2.035714,2.062500,2.017857,2.035714,1.924830,33768000
1993-06-02,2.035714,2.080357,2.000000,2.035714,1.924830,50120000
1993-06-03,2.013399,2.044642,2.000000,2.013399,1.903731,39214000
1993-06-04,1.959828,2.008928,1.946428,1.959828,1.853078,53421200
1993-06-07,1.812500,1.955357,1.799113,1.812500,1.713774,120576400
1993-06-08,1.767857,1.785714,1.714285,1.767857,1.671563,155246000
1993-06-09,1.580357,1.629471,1.571428,1.580357,1.494276,294618800
1993-06-10,1.589285,1.598214,1.526785,1.589285,1.502717,138426400
1993-06-11,1.562500,1.616071,1.549113,1.562500,1.477392,60580800
1993-06-14,1.593756,1.598214,1.553571,1.593756,1.506945,62372800
1993-06-15,1.500000,1.616071,1.495542,1.500000,1.418296,112078400
1993-06-16,1.508928,1.544642,1.482142,1.508928,1.426737,88270000
1993-06-17,1.473214,1.517857,1.446428,1.473214,1.392969,102359600
1993-06-18,1.464285,1.504471,1.419642,1.464285,1.384526,77823200
1993-06-21,1.415185,1.446428,1.410714,1.415185,1.338100,68395600
1993-06-22,1.477685,1.500000,1.419642,1.477685,1.397197,84095200
1993-06-23,1.446428,1.491071,1.428571,1.446428,1.367642,45180800
1993-06-24,1.491071,1.491071,1.428571,1.491071,1.409853,55708800
1993-06-25,1.428571,1.455357,1.410714,1.428571,1.350757,64290800
1993-06-28,1.433042,1.446428,1.383928,1.433042,1.354985,88404400
1993-06-29,1.392857,1.437500,1.375000,1.392857,1.316989,73567200
1993-06-30,1.410714,1.419642,1.375000,1.410714,1.333874,50064000
1993-07-01,1.357142,1.419642,1.357142,1.357142,1.283219,54541200
1993-07-02,1.375000,1.383928,1.348214,1.375000,1.300104,47908000
1993-07-06,1.348214,1.392857,1.339285,1.348214,1.274778,38813600
1993-07-07,1.303571,1.352685,1.294642,1.303571,1.232566,56711200
1993-07-08,1.303571,1.339285,1.290185,1.303571,1.232566,34742400
1993-07-09,1.312500,1.330357,1.303571,1.312500,1.241009,39219600
1993-07-12,1.357142,1.361613,1.294642,1.357142,1.283219,43470000
1993-07-13,1.330357,1.383928,1.321428,1.330357,1.257893,39527600
1993-07-14,1.330357,1.339285,1.276785,1.330357,1.257893,61574800
1993-07-15,1.276785,1.348214,1.258928,1.276785,1.207240,84509600
1993-07-16,0.982142,1.084828,0.946428,0.982142,0.928645,531347600
1993-07-19,0.915185,1.026785,0.910714,0.915185,0.865336,201558000
